driver_id,first_name,last_name,hire_date,license_number,license_state,date_of_birth,home_terminal,employment_status,cdl_class,years_experience
DRV00001,Jennifer,Hernandez,10/31/2014,DL673510887,WA,11/7/1973,Denver,Active,A,3
DRV00002,William,Martin,10/2/2020,DL128955006,GA,11/3/1976,Columbus,Active,A,20
DRV00003,Charles,Hernandez,9/21/2021,DL523076025,NC,4/6/1970,Salt Lake City,Active,A,19
DRV00004,Barbara,Brown,9/8/2013,DL735540030,WA,2/6/1995,Denver,Active,A,19
DRV00005,Mary,Martinez,12/2/2018,DL706011277,AZ,7/15/1960,Chicago,Active,A,12
DRV00006,Robert,Taylor,4/4/2019,DL811890569,NC,5/2/1990,Portland,Active,A,23
DRV00007,James,Martinez,7/2/2019,DL129100607,PA,5/23/1974,Miami,Terminated,A,5
DRV00008,Barbara,Wilson,6/9/2020,DL190137896,CO,12/28/1978,Philadelphia,Terminated,A,15
DRV00009,Karen,Hernandez,9/29/2013,DL790147183,FL,2/22/1989,Los Angeles,Active,A,13
DRV00010,Sarah,Gonzalez,11/8/2020,DL560219456,WA,5/26/1974,Minneapolis,Active,A,23
DRV00011,Michael,Martinez,6/1/2014,DL245706210,FL,7/4/1972,Dallas,Active,A,15
DRV00012,Robert,Moore,9/12/2013,DL595744935,MO,4/21/1994,Nashville,Active,A,25
DRV00013,Jessica,Jones,11/21/2015,DL295130056,WI,5/27/1969,Philadelphia,Active,A,3
DRV00014,Richard,Miller,1/10/2021,DL153992714,FL,2/2/1969,Salt Lake City,Active,A,11
DRV00015,Susan,Wilson,5/20/2015,DL379340713,OH,5/20/1970,Salt Lake City,Active,A,21
DRV00016,Thomas,Gonzalez,4/9/2017,DL507059676,GA,8/4/1978,Kansas City,Active,A,11
DRV00017,William,Garcia,8/24/2021,DL451492250,IN,12/10/1989,Atlanta,Active,A,13
DRV00018,Patricia,Martin,9/1/2021,DL327268503,PA,5/17/1985,Chicago,Active,A,5
DRV00019,Robert,Jackson,12/14/2020,DL588229686,TX,8/15/1994,Seattle,Active,A,20
DRV00020,Joseph,Martinez,7/21/2019,DL450948014,TX,10/2/1965,Houston,Active,A,18
